Sun Aug 3 04:00:00 +0000 2014, 4513678, 1580882, 2685123, 827349, 790187, 708715
Mon Jul 7 04:00:00 +0000 2014, 4645320, 1579185, 2797073, 874718, 756576, 738713
Sat Apr 6 04:00:00 +0000 2013, 4520690, 971097, 2541432, 511514, 238424, 558390
Fri Aug 8 04:00:00 +0000 2014, 4558818, 1625667, 2744105, 874267, 816232, 763616
Sat Dec 8 05:00:00 +0000 2012, 1, 0, 1, 0, 0, 1
Tue Feb 5 05:00:00 +0000 2013, 1, 0, 0, 1, 0, 1
Wed May 8 04:00:00 +0000 2013, 4502209, 1003574, 2545556, 547627, 220080, 575616
Sat Jul 12 04:00:00 +0000 2014, 4553650, 1555182, 2700373, 760204, 759201, 720222
Wed Jan 9 05:00:00 +0000 2013, 1, 0, 0, 0, 0, 0
Thu Apr 11 04:00:00 +0000 2013, 4305324, 955381, 2415134, 520442, 209189, 553422
Wed Aug 13 04:00:00 +0000 2014, 4581355, 1649145, 2795142, 844193, 830372, 762601
Fri Mar 15 04:00:00 +0000 2013, 1, 0, 0, 0, 0, 0
Mon May 13 04:00:00 +0000 2013, 4429692, 986821, 2510609, 519972, 222077, 539445
Thu Jul 17 04:00:00 +0000 2014, 4581370, 1575004, 2744536, 903220, 749143, 771825
Mon Jan 14 05:00:00 +0000 2013, 1, 0, 0, 0, 0, 1
Tue Apr 16 04:00:00 +0000 2013, 4414365, 1041029, 2503108, 536878, 214293, 558406
Mon Aug 18 04:00:00 +0000 2014, 4575615, 1651307, 2766357, 847736, 834936, 902315
Fri Feb 15 05:00:00 +0000 2013, 4, 0, 0, 0, 0, 0
Sat May 18 04:00:00 +0000 2013, 4418227, 976634, 2466852, 481757, 253360, 567200
Tue Jul 22 04:00:00 +0000 2014, 4946407, 1737754, 2981319, 925385, 832163, 927550
Fri Sep 19 04:00:00 +0000 2014, 4118470, 1390888, 2360850, 892722, 709230, 715034
Sun Apr 21 04:00:00 +0000 2013, 4620499, 1071699, 2614252, 506006, 258340, 572368
Sat Aug 23 04:00:00 +0000 2014, 4615173, 1658082, 2740659, 851706, 838743, 1008151
Wed Feb 20 05:00:00 +0000 2013, 1, 0, 0, 0, 0, 0
Thu May 23 04:00:00 +0000 2013, 4350310, 957762, 2443605, 539353, 222074, 549011
Sun Jul 27 04:00:00 +0000 2014, 4705500, 1661663, 2780026, 840564, 810024, 806260
Wed Sep 24 04:00:00 +0000 2014, 4264686, 1473735, 2468538, 941029, 729519, 715189
Mon Nov 21 05:00:00 +0000 2011, 1, 0, 0, 0, 0, 0
Thu Jan 24 05:00:00 +0000 2013, 2, 0, 0, 0, 0, 0
Fri Apr 26 04:00:00 +0000 2013, 4268215, 920343, 2395324, 521530, 207804, 542393
